CompanyName,WebAddress,PrimaryUSNAICSCode,AllNAICSCodes,HC
Baptist Sports Medicine,www.baptistsportsmedicine.com,621498,621111;621498,1
Baptist Sports Medicine,www.baptistsportsmedicine.com,621498,621111;621340;621498;622110,1
Baptist Sports Medicine of South Nashville,www.nashvillemedicalgroup.com,621999,621999,1
BAPTIST WOMEN'S HEALTH CENTER LLC,www.baptisthospital.com,622110,622110,1
"Barbara Corlew, Fnp",www.tn-watertown.doctors.at,621111,621111,1
Barfield Chiropractic,www.barfieldchiropractic.net,621310,621310,1
Barfield Clinic LLC,www.barfieldclinic.com,621111,621111,1
Barfield Family Walk In Clinic,www.barfieldclinic.com,621999,621999,1
Barker & Christol LLC,www.barker-christol.com,541613,541613,1
Barry Omohundro DDS PC,www.barryomohundrodds.com,621210,621210,1
Barton Home Inspections LLC,www.bartonhomeinspections.net,623110,561990;623110,0
Basic Page,www.lightarian.com,517110,517110;624190,1
Bates Family Dentistry Inc,www.batesfamilydentistry.com,621210,621210,1
Batson Family Chiropracti,www.batsonchirowellness.com,621310,621310,1
"Batten & Shaw, Inc.",www.bsinet.us,236220,236220,1
"BATTERY SHOP, L.L.C.",www.batteryshop.com,335911,335911;336413,0
Bauer Ethics Seminars,www.greatdecisionmaking.net,541618,541618,0
Bcd Consulting,www.bcdgrantconsulting.com,541618,541618,0
"Bdo Usa, LLP",www.bdo.com,541611,541611,0
"BE&k Building Group, Inc",www.kbrbuildinggroup.com,236220,236220,0
Bear Marketing Group Inc,www.bearmarketing.org,541613,541613,0
Beareware,www.bearwebdesign.com,541512,541512,0
"Bearingpoint, Inc.",www.bearingpoint.com,541618,541611;541618,0
BEASLEY & BEASLEY CONSTRUCTION INC,www.beasleysyard.net,236220,236220;423320;423820;444220;561730,0
"Beasley, Elysse Lpe",www.elyssebeasley.com,624190,624190,1
Beckner Clevy Partners,www.becknerclevypartners.com,541611,541611,0
"BECTON, DICKINSON AND COMPANY",www.bd.com,325412,325412,1
Beel Chiropractic Center,www.beelchiropractic.com,621310,621310,1
BEHAVIORAL CENTERS OF AMERICA LLC,www.bca-corp.com,622210,622210,1
Behavioral Treatment Providers LLC,www.bipbtp.com,624190,624190,1
Bell & Associates Construction LP,www.balp.com,236220,236220;237310,0
Bell Family Medical Center,www.bellfamilymedicalcenters.com,621111,621111,1
Bell Family Medical Center,www.bellfamilymedicalcenters.com,621112,621112,1
BELLA VITA MEDICAL CENTER LLC,www.bellavitamedicalcenter.com,621112,621112,1
"BELLE MEADE CHIROPRACTIC CENTER, PC",www.bellemeadechiro.com,621310,621310,1
Belle Meade Dermatology,www.bellemeadedermatology.com,621111,621111;812112,1
Belle Meade Family Dentistry,www.nashvillecosmeticdentist.com,621210,621210,1
BELLE MEADE PODIATRY,www.bellemeadedermatology.com,621391,621391,1
BELLE MEADE UNITED METHODIST CHURCH,www.bellemeadeumc.org,624410,624410,0
Bellevue Chiropractic Center,www.bellevuechirocenter.com,621310,621310,1
Bellevue Dental Care,www.jamiegrossdentistry.com,621210,621210,1
Bellevue Home School Enrichment,www.enrichmentbhse.com,624410,624410,1
BELLSOUTH CORPORATION,www.att.com,541690,238210;517210;541690,0
"Bellwood Assisted Living, LLC",www.bellwoodassistedliving.com,623990,623990,1
Belmont At Resort and Daycare,www.thebelmontpetresort.com,624410,624410,0
"Belmont Software Services, LLC",www.belmont-ss.com,541512,541512,0
"BELMONT VILLAGE GREEN HILLS TENANT, LLC",www.belmontvillage.com,623312,623312,1
Belo South Consulting LLC,www.belosouthconsulting.com,541618,541618,1
Belva Cunningham Lmt,www.belva.net,621399,621399,1
Ben Jamison DDS,www.bkjdds.com,621210,621210,1
Benefit Consulting Alliance LLC,www.hylant.com,541618,541618,1
Benjamin F Fouts PC,www.benfouts.com,541219,541219,0
Benson Orthodontics,www.bensonorthodontics.com,621210,621210,1
BERKELEY H NICHOLLS DPM,www.nashvillefootgroup.com,621391,621391,1
Berry Hill Chiropractic,www.berryhillchiropractic.com,621310,621310,1
Berry's Chapel Church of Christ,www.shopabckids.com,624410,624410,0
Bethany Christian Services,www.bethany.org,624190,621410;624190,0
"Bethany Health Care Center, Inc.",www.bethanyhrc.com,623110,623110,1
Bethesda Work Shops,www.bethesdaworkshops.org,624190,624190,1
Bethlehem Centers of Nashville,www.bethlehemcenters.org,624190,624190,0
"Beverly Enterprises, Inc.",www.goldenliving.com,623110,623110,1
Bewell Chiropractic,www.bewellspringhill.com,621310,621310,1
Beyond Therapy A Shephered Center Program,www.beyond-therapy.org,621498,621498,1
B-G Real Business Systems Publishing,www.bgbook.com,541690,541690,0
BI INFORM INC.,www.bi-inform.us,541618,541618,0
Big Brothers/Big Sisters of Middle Tennessee,www.bbbsmt.org,624190,624190,1
Big Brothers/Big Sisters of Middle Tennessee,www.mentorakid.org,624190,624190,1
BIG EVENTS INC.,www.bigeventswedding.com,541611,541611,0
Bigeframe,www.bigeframe.com,334513,334513,0
Bill Easterly Associates,www.billeasterly.com,541611,541611,0
Bill Robertson DDS,www.billrobertsondds.com,621210,621210,1
Bill Wilkerson Center,www.vanderbilthealth.com,621498,621498,1
Bills Contracting & Remodeling,www.billscontracting.net,517919,236118;517919;812990,0
Biogenyx,www.fredkaufman.com,541611,541611,1
BIOIMAGING AT COOL SPRINGS,www.premierradiology.com,339112,339112,1
"Bioimaging At Harding, Inc.",www.premierradiology.com,621111,621111,1
"Biomat Usa, Inc.",www.biomatusa.grifols.com,621991,621991,1
"Bio-Medical Applications of Rhode Island, Inc.",www.fmcna.com,621492,621492,1
"Bio-Medical Applications of Rhode Island, Inc.",www.fmcna.com,621492,621492,1
"Biomimetic Therapeutics, Inc.",http://www.biomimetics.com,339112,325412;339112;339113,1
"Biomimetic Therapeutics, LLC",www.wmt.com,339112,325412;339112;339113,1
Bios of TN LLC,www.bioscorp.com,624120,624120,1
Biovane Inc,www.biovane.com,541611,541611,0
"Bioventures, Inc",www.bioventures.com,325412,325412;541711,0
"Biowaste, LLC",www.biowastetn.com,621112,621112,1
Bird Strange Media,www.strangebirdmedia.com,517919,517919,0
Bishop Eye Care,www.bishopeyecare.com,621320,621320,1
Bl Solutions LLC,www.blsolutions.org,541611,541611,1
Black Children's Institute of Tennessee Inc,www.bcitn.org,624110,624110,0
BLACKMAN FAMILY DENTAL,www.blackmanfamilydental.com,621210,621210,1
"Blackman Grove Dental, Pllc",www.blackmangrovedental.com,621210,621210,1
Blakeford At Home,www.blakefordathome.com,621610,621610,1
Blankenship CPA Group Pllc,www.blankenshipcpagroup.com,541211,541211,0
"Bledsoe, Frances M Lcsw",www.listoftherapists.com,624190,624190,1
BLESSED BEGINNINGS,www.blessedbeginningsclc.org,624410,624410,1
"Blessed Home Care, LLC",www.blessedhomecare.org,621610,621610,1
BLESSED REVELATIONS,www.theblessedrevelations.com,624190,624190,0
Blissful Heart,www.backintouchwellness.com,621111,621111,1
Blue Oasis Pet Hospital,www.blueoasispethospital.com,622110,541940;622110,1
"Bluebay Automation, LLC",www.bluebayautomation.com,541611,541611,0
"Bluecore Technologies, LLC",www.bluecoretech.com,541512,541512,0
BLUEGRASS BAPTIST WEEKDAY EARLY EDUCATION,www.bluegrassbaptistchurch.com,624410,624410;813110,0
Bluegrass Dentistry PLC,www.bluegrassdentistry.net,621210,621210,1
Bluegrass Womens Health Group,www.bluegrassobgyn.com,621511,621511,1
Bluepearl Veterinary Partners- Nashville,www.tennessee.bluepearlvet.com,424210,424210,1
Bob Doyle & Associates Inc,www.buddymondlock.com,541618,541618;711320,0
Bob Keim CPA,www.usawaterways.com,541211,541211,0
Bob Lyons & Assoc LLC,www.boblyonsandassociates.com,541611,541611,0
BOBBI SMITH,www.smithdentalcenter.com,621210,621210,1
"Bodiflo, LLC",www.bodiflo.com,541711,541711,1
"Bodylogicmd, Inc.",www.bodylogicmd.com,621111,621111,1
Bodyworks Massage Therapy,www.bodyworksmassages.com,621498,621498,1
"Boldplanning, Inc.",www.boldplanning.com,541611,541611,0
Bolls Media,www.bollsmedia.com,517919,517919,0
Bolton Music Therapy,www.boltonmusictherapy.com,621498,621498,1
"BONDWARE, INC.",www.bondware.com,541511,517110;541511,0
"Bonitron, Inc.",www.bonitron.com/contact.html,335999,335314;335999;541330,0
"Booker Business Services, Inc.",www.bookerbusiness.com,541219,541219,0
"Borderjump, LLC",www.borderjump.com,541613,541613,0
Boson Software LLC,www.boson.com,511210,511210,0
Boulevard Terrace Rehab and Nursing Center,www.boulevardterrace.com,623110,623110,1
Boyd-Dearmond Inc,www.boyd-dearmond.com,541618,541618;922110,0
BOYENS GROUP INC,www.boyens.com,541611,541611,0
BOYS & GIRLS CLUBS MIDDLE TN INC,www.bgcmt.org,624110,624110,1
"Boys & Girls Clubs of Rutherford County, Inc",www.bgcrc.net,624110,624110,0
Braces By Dr Ruth Pllc,www.bracesbydrruth.com,621210,621210,1
Brad King,www.kingtechsolutions.com,518210,518210,0
Bradley E Jolly DDS,www.bradleyejollydds.com,621210,621210,1
Bradshaw Bookkeeping,www.bradshawbookkeeping.com,541219,541219,0
BRADY FAMILY DENTAL CARE,www.bradyfamilydentistry.com,621210,621210,1
Brand Beacon Consulting,www.brandbeaconconsulting.com,541618,541618,0
Brand Journalists,www.brandjournalists.com,541690,541690,0
Brandlab LLC,www.brandlab.com,541511,541511,0
Brandon Busbee,www.tnretina.com,621111,621111,1
Brandon C Birdwell,www.springhilltndentist.com,621210,621210,1
Brandon Hodge,www.bhodgedds.com,621210,621210,1
Brandon Jenkins DC,www.jenkinschiropracticonline.com,621310,621310,1
Brandon Technology Consultant,www.brandontci.com,541618,541618,1
"Brasfield & Gorrie, L.L.C.",www.brasfieldgorrie.com,236220,236220,1
Bravo Marketing Group,www.bravomarketinggroup.com,541820,541820,0
Breakstation Creative,www.breakstationcreative.com,541511,541511,0
"Breatheamerica, Inc.",www.breatheamerica.com,621111,621111,1
Brenna Green,www.mmclinic.com,621111,621111,1
BRENT WOOD COUNCELING ASSOCIATION,www.mbs-intl.com,624190,621330;624190,1
Brentwood Allergy & Asthma,www.mbutterfieldallergy.com,621111,621111,1
Brentwood Associates,www.brentwood.com,541611,541611,0
Brentwood Children's Clinic Inc,www.brentwoodchildrens.com,621111,621111,1
BRENTWOOD CHIROPRACTIC CLINIC,www.brentwoodchildrens.com,621310,621310,1
Brentwood Chiropractic Pllc,www.brentwoodchiropractictn.com,621310,621310,1
Brentwood Dental Arts,www.brentwooddentalarts.com,339116,339116,1
Brentwood Dental Center,www.brentwooddentalcentertn.com,621210,621210,1
Brentwood Dental Pediatrics P.C.,www.brentwooddentalpediatrics.com,621210,621210,1
"Brentwood Dental Specialists, LLC",www.brentwooddentalspecialists.com,621210,621210,1
Brentwood Dermatology,www.brentwoodderm.com,621111,621111,1
Brentwood East Clinic,www.tristarbrentwoodeast.com,621999,621999,1
Brentwood East Medical Plaza John A Brewer Company,www.tristarbrentwoodeast.com,621999,621999,1
Brentwood East Pediatrics,www.brentwoodeast.com,621111,621111,1
Brentwood Eye Clinic,www.brentwoodeyeclinic.com,621320,621320,1
Brentwood Neurology PLC,www.physicians.brentwood.ypeek.com,621111,621111,1
Brentwood Primary Care,www.brentwoodprimarycare.com,621111,621111,1
Brentwood Psychiatric Group,www.bpgweb.com,624190,624190,1
Brian Adkison DDS,www.dentists.lebanontn.ypeek.com,621210,621210,1
Brian and Spine Cumberland,www.cumberlandbrainandspine.com,621111,621111,1
Brian D Jackson DPM,www.ohmyachingfeet.com,621391,621391,1
Brian E Carden,www.briancarden.com,541611,541611,0
BRIAN FANN,www.drbrianfann.net,621210,621210,1
Brian Oshaughnessy MD,www.howellallen.com,621111,621111,1
Brian P Nguyen DMD Pllc Oral and Maxillo,www.nguyenoms.com,621210,621210,1
Brian S Biesman MD,www.drbiesman.com,621111,621111,1
Brian Tierney,www.tierneymd.com,621111,621111,1
Bridgemore Solutions LLC,www.bridgemoresolutions.net,621610,621610,1
Bridgestone Arena,www.bridgestonearena.com,236220,236220,0
Bright Beginnings,www.brightbeginningsptc.com,624410,624410,1
Bright Horizons Children's Centers LLC,www.solutionsatwork.brighthorizons.com,624410,624410,1
BRIGHT HORIZONS CHILDREN'S CENTERS LLC,www.solutionsatwork.brighthorizons.com,624410,624410,1
BRIGHT HORIZONS CHILDREN'S CENTERS LLC,www.solutionsatwork.brighthorizons.com,624410,624410,1
Bright Horizons Children's Centers LLC,www.solutionsatwork.brighthorizons.com,624410,624410,1
"Bright Horizons Children's Centers, Inc.",www.solutionsatwork.brighthorizons.com,624410,624410,1
"Bright Horizons Children's Centers, Inc.",www.solutionsatwork.brighthorizons.com,624410,624410,1
Bright Horizons Foundation For Children,www.brighthorizonsfoundation.org,624410,624410,1
Bright Stone Inc,www.brightstone.org,624310,624310;813410,1
Brightstar Care,www.brightstarcare.com,621999,621999,1
"Bristol Germantown Partners, LLC",www.bristoldevelopment.com,541611,541611,1
BROAD HORIZONS OF RAMONA,www.kidsfirstfoundation.net,623990,623990;624110,1
Broadband Technology Corporation,www.broadbandtechnologycorp.com,541690,519120;541512;541611;541690,0
Brookdale Senior Living,http://www.brookdaleliving.com,623110,623110;623312,1
BROOKDALE SENIOR LIVING COMMUNITIES INC,www.brookdaleliving.com,623311,623110;623311,1
"Brown & Maguire Cpas, Pllc",www.brownandmaguire.com,541211,541211,0
Brown Center For Autism,www.thebrowncenter.org,621111,621111,1
Bruce C McLeod,www.omspartners.com,621210,621210,1
Brucegust.com,www.brucegust.com,518210,518210,0
Bryan J Kozinski MD,www.stonecrestfp.com,621111,621111,1
Bryant Tiffany MD,www.dicksonmd.com,621111,621111,1
Brynda Quinn,www.bryndaquinn.com,621330,621330,1
Bubbleup,www.bubbleup.net,517110,517110,0
Buffalo Valley Inc,www.buffalovalley.org,621498,621498,1
"BULOW BIOTECH PROSTHETICS, LLC",www.bulowbiotech.com,339113,339113;423450,1
Bunny Donnelly Physical Therapy,www.donnellypt.com,621340,621340,1
BURCHFIELD & RICHARDSON ORAL & MAXILLOFACIAL SURGERY PLLC,www.omspartners.com,621210,621210,1
Burgdorf Michael R MD MPH,www.middletnplasticsurgery.com,621111,621111,1
Burgdorf Michael R MD MPH,www.middletnplasticsurgery.com,621111,621111,1
"BURKE L. MAYS AND ASSOCIATES, INC.",www.maysandassociates.com,621511,621511,1
"BURKS III, JAMES W DDS",www.burksdentistrymadison.com,621210,621210,1
Burns Julie CPA,www.julieburnscpa.com,541211,541211,0
BURRUS DANIEL S,www.toa.com,621111,621111,1
BUSH FAMILY MOBILE DENTISTRY,www.jameslbushdds.com,621210,621210,1
"Business Resource Group, LLC",www.businessresourcellc.com,541618,541618,0
BUSINESS SYNERGETICS INTERNATIONAL LLC,www.businesssynergetics.com,541611,541611,1
"BUSINESS TECHNOLOGY, INC.",www.bti.tv,541511,541511,0
Butler's Pest Solutions,www.butlerspestsolutions.com,541618,541618,0
Buzzell Jaclyne NP,www.dicksonmd.com,621111,621111,1
Buzzplant LLC,www.buzzplant.com,541511,541511,0
Bva Systems (tennessee) Inc,www.vibro-acoustics.com,334515,334515,0
BY THE NUMBERS,www.bythenumbers.com,541611,541611,0
C and C Industrial Sales LLC,www.ccisinc.com,541618,541618,0
C and L Consultants,www.candlconsultants.com,541618,541618,0
C WADE DAVIDSON MD,www.twcpc.net,621111,621111,1
"C. R. Bard, Inc.",www.crbard.com,423450,423450,1
C. Wilburn,www.mtbj.net,621111,621111,1
C3 Consulting LLC,www.c3-consult.com,541618,541618,0
C3 Consulting LLC,www.c3-consult.com,541618,541618,0
Cabedgecom,www.cabedge.com,517919,517919,1
Cad Productivity Inc,www.cadprodinc.com,541611,541611,0
"Cadence Constructors, LLC",www.bacar.com,236220,236220,1
Caldwell Pediatric Dentistry,www.caldwellpediatricdentistry.com,621111,621111,1
Call Center Industry Advisory Council,www.ciac-cert.org,541690,541690,0
CALVARY WEEKDAY MINISTRIES FOR YOUNG CHILDREN,www.calvaryumc.com,624410,624410,0
Cambridge Academy,www.cambridgeacademypreschool.com,624410,624410,0
Camelot Care Centers,www.thecamelotdifference.com,623990,621330;623990,1
Camelot Care Centers Inc,www.provcorp.com,621991,621991,1
