Company Name,NAICS Code,Sales,Employees,Website,HC
Drkno LLC,5112,0.34,5,,0
Sagents Partners LLC,5112,0.33,5,,0
The Artist Engine LLC,5112,0.29,5,,0
Blue Oasis LLC,5112,0.29,5,www.subway.com/subwayroot/default.aspx,0
Specialty Care Services Group LLC,6215,81,"1,238",www.specialtycare.net,1
"PATHGROUP LABS, LLC",6215,53.1,800,www.pathgroup.com,1
AEGIS SCIENCES CORPORATION,6215,49.4,700,www.aegislabs.com,1
"PROST-DATA, INC.",6215,11.1,130,www.opko.com,1
Quality Mobile X Ray Services Inc,6215,8.7,100,www.qualityxray.com,1
HOME HEALTHCARE LABORATORY OF AMERICA INC,6215,4.3,54,www.labcorp.com,1
Icon Clinical Research Inc,6215,3.7,65,www.iconplc.com,1
"CARDIO LABS, INC.",6215,2.9,39,www.cardiolabs.com,1
"Southern Hills Mri Associates, L.P.",6215,2.6,45,www.southernhills.com,1
"Genetics Associates, Inc.",6215,2.4,29,www.geneticsassociates.com,1
Childrens Clinic East PC,6215,2.1,38,www.childrenscliniceast.com,1
"ANATOMIC AND CLINICAL LABORATORY ASSOCIATES, P.C.",6215,2,24,www.aclapath.com,1
"Associated Pathologists, LLC",6215,1.8,,www.pathgroup.com,1
"Medical Direct Club, LLC",6215,1.8,34,www.medicaldirectclub.com,1
SPRING HILL FAMILY HEALTH GROUP,6215,1.7,25,www.mauryregional.com,1
"Pathologists' Laboratory, P.C.",6215,1.7,20,,1
Woodbury Clinical Lab,6215,1.6,25,www.ael-central.com,1
"Esoterix Oncology, Inc",6215,1.5,100,www.esoterix.com,1
Vu Surgical Pathology Inc,6215,1.3,15,,1
"BURKE L. MAYS AND ASSOCIATES, INC.",6215,1.25,2,www.maysandassociates.com,0
"Genetic Assays, Inc",6215,1.2,12,www.geneticassays.com,1
"Advanced Neurosciences Institute, Inc.",6215,0.88,10,,1
"Oraldna Labs, Inc.",6215,0.84,16,www.oraldna.com,1
Allermetrix Inc.,6215,0.77,10,www.allermetrix.com,0
"International Society For Cns Clinical Trials and Methodology, Inc.",6215,0.74,8,,1
"Healthspring, Inc.",5241,"3,135.71M","3,200",www.healthspring.com,1
AMERICAN GENERAL LIFE AND ACCIDENT INSURANCE COMPANY,5241,597.00M,"9,000",www.aig.com,0
Delta Dental of Tennessee,5241,456.56M,92,www.deltadentaltn.com,1
FIRST ACCEPTANCE CORPORATION,5241,263.19M,"1,100",www.firstacceptancecorp.com,0
DIRECT GENERAL CORPORATION,5241,134.80M,"2,453",www.direct-general.com,0
"Healthspring Usa, LLC",5241,104.00M,,www.healthspring.com,1
"Take Care Employer Solutions, Llc.",5241,55.50M,"1,000",www.takecarehealth.com,1
Lexon Insurance Company,5241,55.18M,105,www.lexonsurety.comc,0
TENNESSEE FARMERS MUTUAL INSURANCE COMPANY,5241,40.90M,870,www.tennesseefarmers.com,0
"MEDSOLUTIONS, INC.",5241,35.60M,280,www.medsolutions.com,1
BOND SAFEGUARD INSURANCE COMPANY,5241,33.06M,24,,0
"HAULERS INSURANCE COMPANY, INC.",5241,29.24M,52,www.shelterinsurance.com,0
Tennessee Amerigroup Inc,5241,26.00M,241,,1
"Onlife Health, Inc.",5241,25.30M,200,,1
Permanent General Assurance Corporation,5241,23.60M,195,www.pgac.com,0
Hylant Group,5241,19.20M,600,www.hylant.com,0
"DIRECT INSURANCE COMPANY, INC",5241,17.60M,389,www.directgeneral.com,0
The Vision Insurance Group LLC,5241,16.80M,160,www.alfains.com,1
"PODIATRY INSURANCE COMPANY OF AMERICA, A MUTUAL COMPANY",5241,15.70M,130,www.picagroup.com,1
Long Term Preferred Care Inc,5241,15.30M,130,,1
STATE VOLUNTEER MUTUAL INSURANCE COMPANY,5241,14.40M,118,www.svmic.com,1
"UNITED HEALTHCARE OF TENNESSEE, INC.",5241,13.50M,120,www.uhc.com,1
Criterion Holdings Corporation,5241,13.10M,130,,1
North America Administrators LP,5241,13.00M,75,www.naa-lp.com,1
"CIGNA HEALTHCARE OF TENNESSEE, INC.",5241,12.90M,113,www.cigna.com,1
AGC Life Insurance Company,5242,303.10M,9000,www.americangeneral.com,0
"Asurion Insurance Services, Inc.",5242,105.00M,3000,www.asurion.com,0
"Cgs Administrators, LLC",5242,24.90M,857,www.cgsadmin.com,1
"PERMANENT GENERAL COMPANIES, INC.",5242,17.80M,195,www.thegeneral.com,0
Alternative Service Concepts LLC,5242,17.50M,135,www.ascriskmanagement.com,0
DIRECT GENERAL INSURANCE AGENCY INC,5242,17.30M,530,www.directgeneral.com,0
Tennessee Farmers Assurance Company,5242,16.90M,250,www.fbitn.com,0
Willis North America Inc.,5242,16.70M,468,www.willis.com,1
Concentra Network Services,5242,11.80M,167,www.concentra.com,1
"Willis of Tennessee, Inc.",5242,11.70M,150,www.willis.com,0
"Brown & Brown of Tennessee, Inc.",5242,11.60M,145,www.synaxis.com,0
DIRECT GENERAL INSURANCE COMPANY,5242,10.70M,145,www.directgeneral.com,0
"TENCO SERVICES, INC",5242,10.60M,90,www.tenco.com,0
"Crichton, Brandon, Jackson & Ward, Inc.",5242,10.00M,80,www.thecrichtongroup.com,0
"FIRST ACCEPTANCE INSURANCE COMPANY, INC.",5242,9.70M,311,www.firstacceptancecorp.com,0
DIRECT ADJUSTING COMPANY,5242,9.70M,95,,0
"Willis Insurance Services of California, Inc.",5242,9.20M,86,www.willis.com,0
"DIRECT GENERAL AGENCY OF KENTUCKY, INC",5242,8.60M,84,www.fl.jacksonville.local.directgeneral.com,0
"BRENTWOOD SERVICES, INC.",5242,8.20M,105,www.bwood.com,0
PINSON & ASSOCIATES INSURANCE AGENCY INC,5242,7.50M,8,www.transpecinc.com,0
"Polk & Sullivan, Inc",5242,7.30M,75,www.synaxis.com,0
THE ZANDER INSURANCE GROUP LLC,5242,6.30M,60,www.zanderins.com,1
"CAPITAL FINANCIAL GROUP, LLC",5242,6.20M,65,www.financialguide.com,0
"Direct General Insurance Agency of Mississippi, Inc",5242,6.10M,60,www.ms.mccomb.local.directgeneral.com,0
Pro Claim Inc,5242,5.90M,70,www.proclaiminc.com,1
